Name,Gender,City,Frequency,Item,Spends
Tanvi,M,Hyderabad,Once,Pizza,79
Ira,M,Bangalore,Never,Pizza,45
Om,F,Kolkata,Daily,Chowmein,80
Nitin,F,Kolkata,Never,Roll,49
Rahul,M,Pune,Weekly,Pizza,40
Swati,F,Bangalore,Once,Samosa,59
Rohit,F,Bangalore,Daily,Samosa,67
Vivek,M,Bangalore,Monthly,Paneer,53
Arjun,F,Kolkata,Weekly,Dosa,35
Shreya,M,Mumbai,Monthly,Samosa,8
Aarav,M,Ahmedabad,Weekly,Burger,70
Dhruv,M,Mumbai,Daily,Dosa,97
Ragini,F,Bangalore,Daily,Paneer,58
Aarav,F,Chennai,Monthly,Roll,75
Manav,M,Kolkata,Monthly,Burger,81
Tara,M,Bangalore,Daily,Paneer,38
Abhay,M,Hyderabad,Once,Vada,68
Ishaan,F,Delhi,Never,Chowmein,20
Ishaan,M,Kolkata,Daily,Roll,89
Swati,F,Chennai,Never,Samosa,44
Om,M,Chennai,Daily,Sandwich,44
Ishaan,F,Bangalore,Never,Roll,74
Aryan,F,Hyderabad,Weekly,Paneer,20
Rahul,M,Chennai,Once,Dosa,57
Saanvi,F,Ahmedabad,Never,Dosa,46
Ishaan,F,Delhi,Once,Samosa,29
Dhruv,F,Kolkata,Weekly,Burger,31
Dhruv,F,Kolkata,Never,Chowmein,27
Aisha,M,Chennai,Weekly,Vada,5
Om,M,Bangalore,Never,Samosa,64
Aisha,F,Pune,Monthly,Samosa,73
Rohit,F,Chennai,Never,Burger,99
Nitin,F,Hyderabad,Once,Burger,51
Swati,M,Chennai,Once,Samosa,50
Vivek,M,Pune,Weekly,Vada,87
Shreya,F,Bangalore,Once,Burger,91
Vivaan,M,Chennai,Monthly,Burger,53
Pooja,M,Delhi,Monthly,Pizza,15
Aisha,F,Kolkata,Weekly,Samosa,16
Sneha,M,Kolkata,Weekly,Sandwich,44
Harsh,M,Bangalore,Weekly,Chowmein,63
Aman,F,Ahmedabad,Monthly,Samosa,77
Nikhil,M,Chennai,Never,Paneer,32
Kiara,F,Kolkata,Daily,Burger,82
Aarav,M,Hyderabad,Daily,Samosa,53
Sneha,M,Hyderabad,Never,Samosa,90
Anaya,F,Pune,Monthly,Vada,57
Neha,F,Delhi,Weekly,Dosa,37
Aryan,M,Mumbai,Never,Sandwich,61
Aarav,F,Pune,Daily,Dosa,44
Rhea,F,Bangalore,Once,Burger,69
Dhruv,F,Mumbai,Never,Paneer,6
Dhruv,F,Chennai,Never,Samosa,19
Aditya,F,Ahmedabad,Never,Roll,49
Simran,F,Hyderabad,Weekly,Samosa,5
Neha,M,Hyderabad,Once,Burger,18
Manav,F,Hyderabad,Never,Samosa,84
Ira,M,Ahmedabad,Daily,Samosa,64
Tanvi,M,Kolkata,Once,Burger,10
Priya,F,Bangalore,Never,Samosa,79
Rhea,F,Ahmedabad,Never,Sandwich,95
Rohit,M,Bangalore,Daily,Burger,79
Ragini,F,Mumbai,Weekly,Pizza,48
Aisha,F,Hyderabad,Monthly,Dosa,44
Nikhil,F,Delhi,Never,Burger,97
Ira,M,Pune,Daily,Vada,99
Swati,F,Ahmedabad,Monthly,Pizza,81
Rahul,F,Delhi,Weekly,Dosa,99
Nikhil,M,Chennai,Daily,Vada,91
Tanish,M,Kolkata,Daily,Paneer,27
Rohit,M,Delhi,Never,Sandwich,26
Om,M,Hyderabad,Weekly,Pizza,69
Kavya,F,Mumbai,Once,Paneer,55
Anaya,F,Kolkata,Once,Dosa,9
Rohit,F,Ahmedabad,Once,Paneer,45
Aisha,F,Ahmedabad,Weekly,Sandwich,33
Siddharth,F,Chennai,Monthly,Paneer,57
Meera,F,Chennai,Daily,Samosa,6
Arjun,F,Pune,Once,Pizza,24
Om,F,Chennai,Daily,Burger,32
Kabir,F,Pune,Monthly,Sandwich,47
Om,F,Bangalore,Daily,Roll,43
Harsh,M,Delhi,Never,Burger,46
Vivek,M,Kolkata,Monthly,Paneer,93
Rahul,F,Ahmedabad,Monthly,Chowmein,88
Anaya,M,Pune,Never,Chowmein,96
Aditya,F,Bangalore,Daily,Sandwich,94
Shreya,F,Chennai,Weekly,Dosa,20
Meera,M,Pune,Weekly,Dosa,76
Diya,M,Pune,Monthly,Dosa,27
Tanish,M,Chennai,Once,Sandwich,15
Dhruv,F,Hyderabad,Daily,Dosa,28
Radhika,M,Ahmedabad,Never,Paneer,93
Saanvi,M,Bangalore,Once,Vada,29
Ira,M,Ahmedabad,Never,Pizza,55
Vivaan,F,Kolkata,Daily,Pizza,24
Vivek,M,Ahmedabad,Daily,Sandwich,38
Naira,M,Pune,Never,Chowmein,70
Anaya,M,Pune,Weekly,Roll,40
Siddharth,F,Delhi,Monthly,Roll,79
Aisha,F,Bangalore,Weekly,Burger,39
Rhea,M,Ahmedabad,Never,Sandwich,63
Radhika,F,Mumbai,Once,Roll,98
Kriti,F,Mumbai,Monthly,Vada,34
Harsh,F,Pune,Once,Sandwich,62
Rohit,F,Delhi,Weekly,Sandwich,57
Sneha,F,Kolkata,Monthly,Roll,15
Rhea,F,Kolkata,Weekly,Burger,79
Dhruv,M,Hyderabad,Weekly,Paneer,51
Ragini,F,Pune,Never,Pizza,34
Kabir,F,Ahmedabad,Once,Roll,47
Vivek,M,Bangalore,Never,Pizza,34
Rhea,F,Hyderabad,Monthly,Samosa,28
Meera,M,Pune,Never,Vada,64
Ira,F,Chennai,Never,Chowmein,35
Sneha,F,Hyderabad,Daily,Sandwich,26
Naira,M,Hyderabad,Never,Sandwich,83
Tanvi,M,Mumbai,Monthly,Samosa,74
Tara,F,Ahmedabad,Weekly,Sandwich,93
Kavya,F,Mumbai,Once,Burger,88
Aryan,M,Ahmedabad,Once,Dosa,57
Aryan,M,Hyderabad,Monthly,Dosa,98
Yash,F,Bangalore,Daily,Vada,82
Vivek,M,Mumbai,Never,Chowmein,83
Manav,F,Bangalore,Daily,Dosa,8
Kriti,M,Pune,Never,Sandwich,91
Ira,F,Hyderabad,Daily,Chowmein,5
Aditya,M,Pune,Monthly,Burger,87
Tanish,M,Bangalore,Weekly,Pizza,32
Dhruv,M,Chennai,Weekly,Burger,15
Tanish,M,Delhi,Weekly,Vada,87
Priya,F,Bangalore,Weekly,Paneer,15
Aisha,F,Ahmedabad,Monthly,Pizza,81
Kriti,M,Chennai,Never,Pizza,89
Abhay,M,Chennai,Once,Roll,27
Kiara,F,Delhi,Once,Pizza,56
Om,F,Delhi,Monthly,Vada,8
Nikhil,M,Mumbai,Monthly,Vada,89
Rahul,M,Bangalore,Once,Dosa,34
Priya,F,Bangalore,Weekly,Samosa,34
Siddharth,F,Mumbai,Never,Samosa,46
Aman,F,Bangalore,Once,Paneer,66
Anaya,M,Chennai,Daily,Burger,61
Radhika,F,Hyderabad,Daily,Samosa,90
Kiara,M,Hyderabad,Monthly,Sandwich,96
Rahul,F,Ahmedabad,Never,Dosa,80
Ragini,F,Chennai,Weekly,Samosa,65
Kabir,M,Kolkata,Monthly,Samosa,50
Rohit,M,Mumbai,Once,Burger,70
Kabir,F,Delhi,Daily,Dosa,87
Saanvi,M,Bangalore,Daily,Pizza,84
Sneha,M,Delhi,Never,Sandwich,73
Tara,M,Delhi,Daily,Samosa,15
Aditya,M,Hyderabad,Weekly,Burger,60
Vivek,F,Hyderabad,Never,Pizza,84
Rahul,M,Bangalore,Once,Roll,94
Simran,M,Kolkata,Once,Burger,8
Aisha,F,Bangalore,Never,Vada,20
Kiara,M,Chennai,Monthly,Chowmein,68
Shreya,M,Ahmedabad,Never,Paneer,36
Diya,M,Ahmedabad,Weekly,Vada,92
Saanvi,F,Kolkata,Once,Chowmein,49
Rahul,M,Pune,Monthly,Pizza,57
Aarav,F,Ahmedabad,Monthly,Dosa,59
Naira,F,Mumbai,Weekly,Vada,18
Shreya,F,Mumbai,Once,Sandwich,75
Om,M,Hyderabad,Once,Samosa,75
Siddharth,M,Mumbai,Monthly,Samosa,88
Neha,F,Hyderabad,Once,Pizza,64
Karan,F,Hyderabad,Weekly,Roll,19
Saanvi,F,Delhi,Monthly,Roll,53
Manav,M,Bangalore,Weekly,Roll,47
Naira,M,Kolkata,Once,Samosa,93
Pooja,F,Pune,Once,Vada,87
Aarav,M,Chennai,Once,Pizza,72
Vivek,M,Pune,Never,Dosa,80
Siddharth,M,Hyderabad,Monthly,Burger,68
Aryan,M,Ahmedabad,Daily,Vada,11
Kiara,F,Hyderabad,Daily,Burger,65
Shreya,F,Hyderabad,Daily,Chowmein,27
Kabir,M,Kolkata,Never,Chowmein,13
Radhika,F,Chennai,Never,Paneer,49
Tara,M,Ahmedabad,Never,Pizza,67
Kavya,M,Mumbai,Daily,Paneer,19
Siddharth,F,Hyderabad,Monthly,Sandwich,89
Ishaan,F,Mumbai,Daily,Paneer,40
Siddharth,F,Hyderabad,Once,Chowmein,74
Rhea,F,Delhi,Once,Burger,12
Arjun,F,Ahmedabad,Daily,Burger,56
Manav,F,Ahmedabad,Weekly,Chowmein,27
Diya,M,Chennai,Never,Samosa,55
Sneha,F,Hyderabad,Monthly,Burger,11
Swati,F,Chennai,Daily,Paneer,43
Kriti,F,Ahmedabad,Never,Dosa,83
Reyansh,F,Delhi,Once,Paneer,55
Aarav,F,Chennai,Never,Samosa,47
Tara,F,Kolkata,Never,Samosa,5
Diya,M,Hyderabad,Never,Burger,73
Abhay,M,Delhi,Monthly,Vada,82
Simran,F,Hyderabad,Never,Paneer,96
Shreya,M,Hyderabad,Daily,Sandwich,74
Pooja,F,Chennai,Once,Samosa,40
Ishaan,M,Pune,Daily,Dosa,9
Om,F,Mumbai,Once,Samosa,100
Diya,M,Kolkata,Monthly,Roll,72
Harsh,M,Kolkata,Weekly,Sandwich,62
Tanvi,M,Pune,Monthly,Samosa,54
Aarav,M,Hyderabad,Monthly,Pizza,74
Manav,F,Hyderabad,Never,Vada,6
Aryan,M,Chennai,Once,Dosa,34
Vivaan,F,Hyderabad,Never,Burger,11
Aryan,M,Hyderabad,Monthly,Paneer,21
Harsh,M,Hyderabad,Monthly,Dosa,41
Saanvi,F,Kolkata,Monthly,Pizza,59
Siddharth,F,Hyderabad,Weekly,Vada,63
Rahul,M,Delhi,Weekly,Samosa,73
Vivek,F,Pune,Once,Paneer,29
Aman,M,Delhi,Once,Sandwich,28
Rahul,M,Pune,Daily,Roll,90
Arjun,F,Bangalore,Monthly,Paneer,72
Simran,M,Mumbai,Once,Burger,23
Shreya,F,Delhi,Weekly,Vada,59
Rahul,F,Bangalore,Weekly,Burger,79
Ira,M,Ahmedabad,Once,Dosa,52
Tanvi,M,Delhi,Once,Paneer,55
Swati,M,Delhi,Weekly,Paneer,76
Meera,M,Bangalore,Once,Chowmein,10
Sneha,M,Delhi,Once,Dosa,35
Rahul,F,Mumbai,Daily,Roll,44
Saanvi,M,Delhi,Weekly,Paneer,78
Neha,M,Hyderabad,Never,Vada,52
Neha,M,Hyderabad,Weekly,Dosa,93
Nitin,M,Ahmedabad,Monthly,Vada,57
Rohit,M,Hyderabad,Weekly,Vada,83
Rohit,F,Ahmedabad,Once,Sandwich,72
Ira,M,Kolkata,Daily,Chowmein,98
Nitin,F,Ahmedabad,Never,Chowmein,6
Simran,M,Delhi,Daily,Paneer,87
Kavya,M,Hyderabad,Once,Roll,59
Kabir,F,Ahmedabad,Daily,Samosa,71
Nikhil,M,Bangalore,Once,Chowmein,62
Nitin,F,Bangalore,Once,Pizza,98
Neha,M,Pune,Once,Vada,26
Manav,M,Delhi,Weekly,Dosa,32
Aman,M,Pune,Never,Chowmein,95
Sneha,F,Ahmedabad,Once,Paneer,35
Rohit,M,Mumbai,Weekly,Roll,99
Karan,M,Ahmedabad,Monthly,Dosa,96
Simran,F,Kolkata,Monthly,Burger,53
Rahul,F,Hyderabad,Once,Samosa,85
Aman,M,Mumbai,Weekly,Chowmein,61
Om,M,Pune,Never,Dosa,82
Diya,F,Delhi,Monthly,Paneer,24
Aman,F,Bangalore,Never,Samosa,28
Arjun,M,Pune,Daily,Vada,28
Swati,F,Kolkata,Weekly,Pizza,85
Kavya,F,Mumbai,Once,Paneer,43
Dhruv,F,Ahmedabad,Once,Dosa,5
Ishaan,F,Delhi,Daily,Pizza,29
Dhruv,M,Mumbai,Monthly,Burger,54
Radhika,M,Delhi,Monthly,Samosa,15
Anaya,M,Mumbai,Never,Sandwich,34
Sneha,M,Hyderabad,Never,Pizza,6
Ragini,M,Pune,Once,Vada,17
Kiara,F,Mumbai,Once,Vada,40
Nikhil,M,Bangalore,Never,Pizza,52
Arjun,M,Chennai,Monthly,Chowmein,83
Vivaan,F,Kolkata,Never,Pizza,11
Vivek,F,Kolkata,Monthly,Chowmein,85
Rhea,F,Ahmedabad,Never,Samosa,93
Nikhil,M,Mumbai,Once,Pizza,44
Reyansh,F,Hyderabad,Weekly,Sandwich,52
Abhay,F,Chennai,Weekly,Roll,40
Arjun,M,Pune,Monthly,Samosa,62
Simran,M,Pune,Once,Samosa,83
Tanish,M,Chennai,Monthly,Burger,19
Rahul,F,Ahmedabad,Never,Sandwich,54
Rohit,F,Kolkata,Daily,Vada,8
Radhika,M,Delhi,Once,Dosa,32
Tanvi,M,Hyderabad,Never,Vada,50
Nitin,F,Kolkata,Daily,Pizza,31
Siddharth,M,Hyderabad,Never,Samosa,46
Reyansh,M,Delhi,Monthly,Pizza,77
Kiara,M,Chennai,Once,Roll,57
Manav,F,Pune,Never,Vada,24
Ishaan,M,Hyderabad,Once,Dosa,94
Diya,F,Kolkata,Never,Dosa,73
Ira,M,Hyderabad,Never,Sandwich,68
Shreya,M,Ahmedabad,Monthly,Sandwich,16
Ragini,F,Kolkata,Daily,Paneer,50
Abhay,F,Delhi,Never,Sandwich,91
Kriti,M,Bangalore,Daily,Dosa,93
Aarav,M,Hyderabad,Never,Dosa,5
Simran,F,Chennai,Monthly,Paneer,51
Abhay,M,Bangalore,Daily,Vada,83
Manav,F,Bangalore,Daily,Roll,61
Kiara,F,Bangalore,Weekly,Roll,99
Neha,F,Bangalore,Never,Samosa,95
Priya,F,Mumbai,Never,Pizza,66
Aditya,M,Delhi,Monthly,Roll,82
Vivaan,F,Ahmedabad,Monthly,Sandwich,12
Aarav,M,Ahmedabad,Once,Pizza,17
Rahul,M,Delhi,Never,Pizza,9
Kriti,F,Kolkata,Monthly,Pizza,55
Dhruv,M,Bangalore,Monthly,Dosa,52
Tara,M,Chennai,Monthly,Samosa,69
Kiara,M,Delhi,Weekly,Roll,17
Nikhil,F,Ahmedabad,Once,Paneer,37
Anaya,M,Mumbai,Once,Chowmein,89
Tanvi,F,Bangalore,Weekly,Roll,87
Kriti,M,Hyderabad,Once,Vada,67
Aisha,F,Ahmedabad,Monthly,Samosa,94
Nitin,F,Kolkata,Monthly,Dosa,30
Siddharth,F,Pune,Daily,Dosa,69
Manav,M,Hyderabad,Never,Burger,92
Priya,F,Kolkata,Once,Dosa,78
Radhika,F,Pune,Weekly,Pizza,47
Vivaan,M,Mumbai,Daily,Pizza,63
Rahul,M,Mumbai,Monthly,Burger,72
Meera,F,Chennai,Never,Samosa,15
Vivaan,F,Mumbai,Never,Roll,24
Saanvi,M,Bangalore,Monthly,Burger,88
Om,M,Mumbai,Never,Pizza,49
Dhruv,M,Hyderabad,Once,Roll,34
Sneha,F,Ahmedabad,Daily,Pizza,40
Rahul,M,Pune,Monthly,Burger,71
Aryan,F,Hyderabad,Weekly,Vada,34
Kriti,F,Ahmedabad,Never,Burger,96
Radhika,M,Delhi,Daily,Samosa,30
Sneha,M,Hyderabad,Daily,Chowmein,65
Diya,F,Ahmedabad,Once,Sandwich,42
Meera,F,Kolkata,Never,Sandwich,6
Tanvi,F,Delhi,Once,Roll,71
Siddharth,F,Bangalore,Daily,Sandwich,58
Ragini,F,Pune,Never,Vada,85
Sneha,M,Chennai,Never,Vada,46
Nikhil,M,Mumbai,Daily,Roll,6
Ishaan,M,Ahmedabad,Once,Pizza,74
Vivek,F,Delhi,Monthly,Dosa,12
Manav,F,Ahmedabad,Once,Sandwich,13
Naira,M,Delhi,Weekly,Paneer,67
Vivek,M,Bangalore,Monthly,Chowmein,16
Neha,M,Chennai,Monthly,Sandwich,13
Vivek,F,Bangalore,Once,Paneer,35
Ishaan,F,Delhi,Never,Samosa,54
Diya,M,Ahmedabad,Daily,Dosa,31
Aisha,M,Chennai,Monthly,Sandwich,99
Meera,F,Mumbai,Never,Samosa,53
Ishaan,F,Pune,Once,Vada,73
Nikhil,M,Delhi,Daily,Vada,57
Meera,F,Hyderabad,Once,Sandwich,58
Aryan,F,Chennai,Once,Burger,73
Reyansh,F,Mumbai,Daily,Chowmein,93
Abhay,M,Mumbai,Once,Paneer,91
Aisha,F,Kolkata,Weekly,Paneer,8
Rhea,M,Mumbai,Daily,Sandwich,12
Aryan,F,Delhi,Weekly,Burger,50
Kriti,M,Ahmedabad,Monthly,Vada,89
Anaya,F,Kolkata,Weekly,Paneer,65
Kavya,F,Mumbai,Never,Burger,49
Kriti,F,Hyderabad,Never,Samosa,19
Tanish,M,Chennai,Monthly,Samosa,50
Siddharth,F,Hyderabad,Once,Vada,42
Shreya,F,Bangalore,Weekly,Chowmein,34
Naira,M,Bangalore,Monthly,Burger,7
Vivek,M,Hyderabad,Weekly,Samosa,59
Aarav,F,Kolkata,Weekly,Dosa,92
Diya,F,Hyderabad,Daily,Sandwich,61
Saanvi,F,Hyderabad,Weekly,Pizza,51
Diya,M,Chennai,Daily,Chowmein,34
Anaya,F,Chennai,Never,Pizza,9
Kiara,M,Mumbai,Daily,Chowmein,11
Swati,F,Bangalore,Daily,Samosa,23
Naira,M,Kolkata,Weekly,Sandwich,50
Radhika,M,Kolkata,Once,Pizza,50
Ira,F,Bangalore,Once,Pizza,7
Priya,F,Chennai,Once,Roll,68
Ira,F,Ahmedabad,Weekly,Dosa,30
Shreya,F,Delhi,Weekly,Paneer,86
Aarav,M,Delhi,Daily,Burger,45
Rhea,F,Kolkata,Weekly,Pizza,81
Nikhil,M,Ahmedabad,Once,Burger,26
Nitin,F,Kolkata,Weekly,Vada,77
Kriti,F,Delhi,Once,Dosa,18
Meera,F,Ahmedabad,Once,Samosa,99
Naira,M,Ahmedabad,Weekly,Samosa,9
Priya,F,Chennai,Monthly,Burger,76
Vivaan,F,Chennai,Daily,Dosa,50
Vivaan,M,Ahmedabad,Once,Sandwich,38
Kabir,F,Hyderabad,Monthly,Burger,27
Ira,M,Pune,Never,Samosa,29
Diya,F,Bangalore,Never,Samosa,28
Radhika,F,Delhi,Never,Vada,76
Rahul,M,Ahmedabad,Daily,Dosa,52
Manav,M,Mumbai,Weekly,Pizza,63
Tanvi,F,Delhi,Daily,Burger,71
Ragini,M,Delhi,Daily,Dosa,9
Vivek,F,Bangalore,Once,Vada,28
Kriti,F,Hyderabad,Once,Sandwich,62
